,"Propinsi, Kab/Kota","Kecamatan, Desa/Kel",Alamat,Koordinat
5976,"JAWA TIMUR, KAB. BANYUWANGI","GAMBIRAN, JAJAG",DUSUN YOSOWINANGUN,"-8.4470188, 114.1932181"
5977,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, WONOKUSUMO",BULAK SARI GG 2 BUNTU 20,"-7.21588149, 112.75299541"
5978,"JAWA TIMUR, KOTA BATU","JUNREJO, PENDEM",JL.RAYA PENDEM,"-7.9018556, 112.5818386"
5979,"JAWA TIMUR, KOTA SURABAYA","TAMBAKSARI, PACARKELING",PACAR KELING 3/39-A,"-7.2578109, 112.7591284"
5980,"JAWA TIMUR, KOTA PROBOLINGGO","KEDOPOK, JREBENG KULON",JL PROGO,"-7.7843561, 113.2038422"
5981,"JAWA TIMUR, KAB. BANYUWANGI","PURWOHARJO, SUMBERSARI",DUSUN SUMBEREJEKI,"-8.54263677, 114.26002036"
5982,"JAWA TIMUR, KOTA SURABAYA","TENGGILIS MEJOYO, KENDANGSARI",KENDANGSARI GG XI/14-B,"-7.32367833333333, 112.750185"
5983,"JAWA TIMUR, KAB. BANYUWANGI","SONGGON, BAYU",DSN. SAMBUNGREJO,"-8.19437641, 114.17840941"
5984,"JAWA TIMUR, KAB. LAMONGAN","BABAT, GEMBONG",SURUHAN,"-7.09603468, 112.21954144"
5985,"JAWA TIMUR, KAB. JOMBANG","BANDARKEDUNGMULYO, BRANGKAL",DSN PROKO,"-7.53634235356003, 112.146767573431"
5986,"JAWA TIMUR, KAB. BANYUWANGI","KABAT, TAMBONG",DUSUN KRAJAN,"-8.25671911239624, 114.303710460663"
5987,"JAWA TIMUR, KOTA PASURUAN","BUGUL KIDUL, KEPEL",KEPEL,"-7.6521313, 112.9235907"
5988,"JAWA TIMUR, KAB. MALANG","DONOMULYO, DONOMULYO",BANDUNG,"-8.2734505, 112.423218"
5989,"JAWA TIMUR, KOTA SURABAYA","ASEM ROWO, ASEM ROWO",TAMBAK MAYOR UTARA NO.6,"-7.25036333333333, 112.702633333333"
5990,"JAWA TIMUR, KAB. PROBOLINGGO","BANYUANYAR, GUNUNGGENI",DUSUN CALPEK,"-7.8631522, 113.2895556"
5991,"JAWA TIMUR, KAB. SUMENEP","AMBUNTEN, AMBUNTEN TIMUR",DUSUN PASAR BARU,"-6.89304206, 113.74226192"
5992,"JAWA TIMUR, KAB. LAMONGAN","BRONDONG, BRONDONG",JOMPONG,"-6.87339948, 112.28097422"
5993,"JAWA TIMUR, KAB. LAMONGAN","BRONDONG, BRONDONG",GENENG INDAH,"-6.88165833333333, 112.291415"
5994,"JAWA TIMUR, KOTA KEDIRI","PESANTREN, BAWANG",LINGKUNGAN GANDE,"-7.86851717, 112.06984255"
5995,"JAWA TIMUR, KAB. BANYUWANGI","KALIPURO, KETAPANG",DUSUN PANCORAN,"-8.1327912, 114.3729725"
5996,"JAWA TIMUR, JEMBER","AJUNG, WIROWONGSO",DUSUN BESUK,"-8.21965138, 113.69151184"
5997,"JAWA TIMUR, KAB. BANYUWANGI","TEGALSARI, TEGALSARI",DSN KRAJAN 2,"-8.42636166666667, 114.155715"
5998,"JAWA TIMUR, JEMBER","AJUNG, AJUNG",DUSUN AJUNG WETAN,"-8.213746, 113.6788112"
5999,"JAWA TIMUR, KAB. MALANG","DONOMULYO, MENTARAMAN",GONDANGREJO,"-8.33703915, 112.415155833333"
6000,"JAWA TIMUR, KOTA BATU","BATU, TEMAS",JL WUKIR GG. IV,"-7.87616361, 112.53644168"
6001,"JAWA TIMUR, KOTA MOJOKERTO","PRAJURITKULON, SURODINAWAN",SUROMULANG BARAT. IV / 40,"-7.48587666666667, 112.416108333333"
6002,"JAWA TIMUR, KOTA SURABAYA","GUNUNG ANYAR, RUNGKUT TENGAH",RUNGKUT TENGAH 3 LANGGAR 11,"-7.3347133, 112.7662253"
6003,"JAWA TIMUR, MOJOKERTO","BANGSAL, KUTOPORONG",DSN. TUNGGUL MORO,"-7.5387, 112.493875"
6004,"JAWA TIMUR, KAB. JEMBER","AJUNG, AJUNG",DUSUN GUMUK KERANG,"-8.20227252, 113.67196757"
6005,"JAWA TIMUR, KAB. BANYUWANGI","GAMBIRAN, GAMBIRAN",DUSUN SETEMBEL,"-8.4018848, 114.1421105"
6006,"JAWA TIMUR, SUMENEP","AMBUNTEN, TAMBAAGUNG ARES",DUSUN CAMPALOK,"-6.923825, 113.74664"
6007,"JAWA TIMUR, KAB. BANYUWANGI","GAMBIRAN, PURWODADI",DUSUN GEMBOLO,"-8.44506624507878, 114.173361981269"
6008,"JAWA TIMUR, KOTA SURABAYA","ASEM ROWO, TAMBAK SARIOSO",TAMBAK LANGON VI NO. 3 A,"-7.22625333333333, 112.664575"
6009,"JAWA TIMUR, KAB. LAMONGAN","BABAT, MOROPELANG",SUMBERAGUNG,"-7.0980911, 112.246898"
6010,"JAWA TIMUR, JEMBER","AJUNG, WIROWONGSO",DUSUN BESUK,"-8.21726738, 113.6942808"
6011,"JAWA TIMUR, KAB. MALANG","PAGAK, GAMPINGAN",DSN KRAJAN,"-8.1890046, 112.547926"
6012,"JAWA TIMUR, KAB. BANYUWANGI","SONGGON, BAYU",DSN. KENTANGAN,"-8.21285666666667, 114.188951666667"
6013,"JAWA TIMUR, KAB. MALANG","BANTUR, REJOYOSO",DSN BALONG ,"-8.2142422, 112.5635772"
6014,"JAWA TIMUR, KAB. MALANG","DONOMULYO, TEMPURSARI",TEMPURSARI SELATAN,"-8.31356336, 112.42868149"
6015,"JAWA TIMUR, KAB. JOMBANG","BANDARKEDUNGMULYO, BRANGKAL",DSN BRANGKAL,"-7.55106617230922, 112.135009020567"
6016,"JAWA TIMUR, KAB. BANYUWANGI","SONGGON, SUMBERARUM",DSN. PASAR,"-8.21777, 114.158291666667"
6017,"JAWA TIMUR, LAMONGAN","BABAT, TRITUNGGAL",TESAN,"-7.09764672, 112.25020571"
6018,"JAWA TIMUR, KAB. JEMBER","AJUNG, AJUNG",DUSUN AJUNG WETAN,"-8.2130861, 113.6775322"
6019,"JAWA TIMUR, KAB. MALANG","AMPELGADING, ARGOYUWONO",DSN ARGOSARI,"-8.1921297, 112.8914531"
6020,"JAWA TIMUR, KAB. LAMONGAN","BABAT, BABAT",JL. SUNAN GIRI 66,"-7.1069644, 112.1700535"
6021,"JAWA TIMUR, KOTA MOJOKERTO","PRAJURITKULON, KAUMAN",JL. BRAWIJAYA 53,"-7.465035, 112.429306666667"
6022,"JAWA TIMUR, KAB. NGANJUK","BAGOR, NGUMPUL",DSN GONDANG,"-7.5699622, 111.8454935"
6023,"JAWA TIMUR, KAB. MALANG","DONOMULYO, TLOGOSARI",KRAJAN,"-8.27423136, 112.47049592"
6024,"JAWA TIMUR, KAB. PACITAN","NAWANGAN, GONDANG",DSN. KRAJAN,"-8.1899929, 111.222463"
6025,"JAWA TIMUR, KAB. LAMONGAN","BABAT, GEMBONG",BERU,"-7.09155166666667, 112.209396666667"
6026,"JAWA TIMUR, KAB. BANYUWANGI","GAMBIRAN, WRINGINAGUNG",DUSUN SUMBERJAYA,"-8.436857, 114.1713698"
6027,"JAWA TIMUR, KOTA SURABAYA","GENTENG, EMBONG KALIASIN",KEPUTRAN KEJAMBON II NO.91 C,"-7.2752782, 112.7392706"
6028,"JAWA TIMUR, KOTA PASURUAN","BUGUL KIDUL, TAPA'AN",JL. IMAM BONJOL GG IX,"-7.6400103, 112.9214679"
6029,"JAWA TIMUR, KOTA BLITAR","SUKOREJO, PAKUNDEN",JL BENGAWAN SOLO GG III NO. 21,"-8.0960061, 112.1456833"
6030,"JAWA TIMUR, KAB. MALANG","DONOMULYO, SUMBEROTO",SUMBEROTO,"-8.24419833333333, 112.393431666667"
6031,"JAWA TIMUR, KAB. BANYUWANGI","SONGGON, BAYU",DSN. SAMBUNGREJO,"-8.19940333333333, 114.18077"
6032,"JAWA TIMUR, KOTA SURABAYA","ASEM ROWO, ASEM ROWO",TAMBAK MAYOR NO. 65,"-7.2493895, 112.7049613"
6033,"JAWA TIMUR, KAB. BANYUWANGI","MUNCAR, WRINGINPUTIH",DSN. KRAJAN,"-8.47307663, 114.35190988"
6034,"JAWA TIMUR, KAB. MALANG","PAGAK, GAMPINGAN",DUSUN KRAJAN,"-8.1881945, 112.5426978"
6035,"JAWA TIMUR, JEMBER","AJUNG, WIROWONGSO",DUSUN BESUK,"-8.2195693, 113.685599"
6036,"JAWA TIMUR, KAB. BANYUWANGI","CLURING, SEMBULUNG",DUSUN TEMPURSARI,"-8.4679558, 114.2044382"
6037,"JAWA TIMUR, KAB. MALANG","PAGAK, TLOGOREJO",DSN JUDEK,"-8.2164064, 112.4945229"
6038,"JAWA TIMUR, KAB. MALANG","DONOMULYO, SUMBEROTO",PANGGUNGWARU,"-8.31196166666667, 112.381855"
6039,"JAWA TIMUR, KOTA SURABAYA","GUNUNG ANYAR, GUNUNG ANYAR",JL.AMIR MACHMUD VII / 15,"-7.29146971, 112.80198791"
6040,"JAWA TIMUR, KOTA SURABAYA","WIYUNG, BALAS KLUMPRIK",SUMBERAN,"-7.3310139, 112.6797268"
6041,"JAWA TIMUR, KOTA SURABAYA","WIYUNG, BABATAN",BABATAN 2,"-7.30789, 112.679393333333"
6042,"JAWA TIMUR, MOJOKERTO","DAWARBLANDONG, TEMUIRENG",DSN. TAMBAKREJO,"-7.3206985, 112.4689373"
6043,"JAWA TIMUR, KAB. BANYUWANGI","GENTENG, SETAIL",DUSUN KRAJAN,"-8.3638195, 114.1350401"
6044,"JAWA TIMUR, KOTA BATU","BATU, TEMAS",JL DEWI SARTIKA 3H,"-7.8851263, 112.5356859"
6045,"JAWA TIMUR, KOTA PROBOLINGGO","KADEMANGAN, KADEMANGAN",JL. BENGAWAN SOLO,"-7.77595549, 113.19003211"
6046,"JAWA TIMUR, KOTA PROBOLINGGO","KANIGARAN, SUKOHARJO",JL KH HASAN GENGGONG,"-7.7624287, 113.227306"
6047,"JAWA TIMUR, JEMBER","AJUNG, AJUNG",DUSUN KIDUL BESUK,"-8.22062448, 113.67742746"
6048,"JAWA TIMUR, KAB. MALANG","AMPELGADING, ARGOYUWONO",DSN ARGOMULYO,"-8.2019156, 112.8984558"
6049,"JAWA TIMUR, KAB. BANYUWANGI","BANGOREJO, KEBONDALEM",DSN. KEBONREJO,"-8.4853128, 114.1454037"
6050,"JAWA TIMUR, KAB. BANYUWANGI","GAMBIRAN, GAMBIRAN",DUSUN SETEMBEL,"-8.39293742366594, 114.143609523537"
6051,"JAWA TIMUR, KAB. BANGKALAN","AROSBAYA, BATONAONG",DSN. TORPONG,"-7.0110931, 112.8621269"
6052,"JAWA TIMUR, JEMBER","AMBULU, SUMBEREJO",DUSUN KRAJAN KIDUL,"-8.3945814, 113.5931238"
6053,"JAWA TIMUR, KAB. BANYUWANGI","GAMBIRAN, JAJAG",DUSUN BULUSARI,"-8.427831, 114.1874288"
6054,"JAWA TIMUR, KAB. BANYUWANGI","GAMBIRAN, WRINGINAGUNG",DUSUN SUMBERJO,"-8.4288458, 114.1619978"
6055,"JAWA TIMUR, KAB. JOMBANG","BANDARKEDUNGMULYO, KAYEN",DSN SEMELO,"-7.5770634, 112.1402409"
6056,"JAWA TIMUR, KAB. TULUNGAGUNG","BOYOLANGU, KENDALBULUR",DSN RONGGANAN,"-8.1138378, 111.8813027"
6057,"JAWA TIMUR, KAB. JEMBER","AJUNG, AJUNG",DUSUN AJUNG WETAN,"-8.2139156, 113.6776593"
6058,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, UJUNG",HANGTUAH 8/22,"-7.2223639, 112.7424312"
6059,"JAWA TIMUR, KAB. JOMBANG","GUDO, MENTAOS",DSN MENTAOS,"-7.62880666666667, 112.214816666667"
6060,"JAWA TIMUR, KAB. JOMBANG","BANDARKEDUNGMULYO, KAYEN",DSN SEMELO,"-7.5759215, 112.1421641"
6061,"JAWA TIMUR, KAB. BANYUWANGI","SONGGON, BAYU",Dsn. SAMBUNGREJO,"-8.1874235, 114.1770696"
6062,"JAWA TIMUR, KAB. BANYUWANGI","BLIMBINGSARI, WATUKEBO",DUSUN PATOMAN,"-8.32582825, 114.33488097"
6063,"JAWA TIMUR, KAB. TULUNGAGUNG","GONDANG, BENDO",DSN. CABE,"-8.0745179, 111.8526135"
6064,"JAWA TIMUR, KOTA PASURUAN","BUGUL KIDUL, BUGUL KIDUL",JL NANAS 8 I 9/36,"-7.65753, 112.917008333333"
6065,"JAWA TIMUR, KAB. BANYUWANGI","MUNCAR, TEMBOKREJO",DSN. PALUREJO,"-8.43006666666667, 114.338268333333"
6066,"JAWA TIMUR, KAB. TUBAN","PLUMPANG, PENIDON",DSN PENIDON,"-7.0326011, 112.1333657"
6067,"JAWA TIMUR, KAB. MALANG","AMPELGADING, MULYOASRI",DK MULYOAGUNG,"-8.177655, 112.8710459"
6068,"JAWA TIMUR, JEMBER","AJUNG, WIROWONGSO",DUSUN BESUK,"-8.21433194, 113.67908395"
6069,"JAWA TIMUR, KAB. KEDIRI","GROGOL, GROGOL",DSN BEDREK SELATAN,"-7.75746510395287, 111.956735998392"
6070,"JAWA TIMUR, SIDOARJO","BALONGBENDO, PENAMBANGAN",PENAMBANGAN,"-7.41169127, 112.53848572"
6071,"JAWA TIMUR, KAB. GRESIK","BALONGPANGGANG, BALONGPANGGANG",DUSUN KALIANYAR,"-7.2716812, 112.4591513"
6072,"JAWA TIMUR, KOTA MALANG","BLIMBING, BALEARJOSARI",GRIYA DAMAI SEJAHTERA B-44,"-7.9214092, 112.6403897"
6073,"JAWA TIMUR, KOTA SURABAYA","GENTENG, EMBONG KALIASIN",KEPUTRAN PANJUNAN 3/66,"-7.2756129, 112.7389582"
6074,"JAWA TIMUR, NGANJUK","BAGOR, BANARAN WETAN",DSN. BANARANWETAN,"-7.55824166666667, 111.86439"
6075,"JAWA TIMUR, KAB. BANYUWANGI","CLURING, BENCULUK",DSN. KEBONSARI,"-8.42789797, 114.24774618"
6076,"JAWA TIMUR, KOTA SURABAYA","TAMBAKSARI, DUKUH SETRO",LEBAK REJO UTARA 8/46,"-7.23632658831775, 112.781386775896"
6077,"JAWA TIMUR, KAB. BANYUWANGI","GAMBIRAN, JAJAG",DUSUN YOSOWINANGUN,"-8.4458816, 114.1928726"
6078,"JAWA TIMUR, TUBAN","BANCAR, BANJARJO",DSN KARANG DHUWUR,"-6.77674, 111.729356666667"
6079,"JAWA TIMUR, KOTA PROBOLINGGO","KANIGARAN, KANIGARAN",JL CANGKRING GG IV,"-7.7679107, 113.2163757"
6080,"JAWA TIMUR, KAB. BANYUWANGI","TEGALSARI, TEGALSARI",DSN KRAJAN 2,"-8.436785, 114.15899"
6081,"JAWA TIMUR, LAMONGAN","BABAT, BULUMARGI",BULUGONDANG,"-7.1312461886555, 112.213629093021"
6082,"JAWA TIMUR, KAB. MAGETAN","BENDO, BELOTAN",BELOTAN,"-7.66309099, 111.41866704"
6083,"JAWA TIMUR, KAB. BANYUWANGI","GAMBIRAN, WRINGINAGUNG",DUSUN GLOWONG,"-8.42707833333333, 114.173143333333"
6084,"JAWA TIMUR, KAB. BANYUWANGI","SONGGON, SRAGI",SRAGI TENGAH,"-8.2299291, 114.1651519"
6085,"JAWA TIMUR, KAB. BANYUWANGI","SONGGON, BAYU",Dsn. KENTANGAN,"-8.20624666666667, 114.186905"
6086,"JAWA TIMUR, KOTA SURABAYA","GUBENG, MOJO",MOJOKLANGGRU LOR 62 BLK,"-7.2679863, 112.7680199"
6087,"JAWA TIMUR, KAB. PROBOLINGGO","BANYUANYAR, LIPRAK KIDUL",DUSUN KAMAR,"-7.868785, 113.300918333333"
6088,"JAWA TIMUR, KAB. PACITAN","NAWANGAN, GONDANG",DSN. KRAJAN,"-8.0408951, 111.1963807"
6089,"JAWA TIMUR, KAB. MALANG","DONOMULYO, DONOMULYO",DSN MULYOSARI,"-8.27293898, 112.43709335"
6090,"JAWA TIMUR, KOTA MOJOKERTO","KRANGGAN, MERI",LINGK. MERI,"-7.47495666666667, 112.449498333333"
6091,"JAWA TIMUR, KOTA SURABAYA","SAWAHAN, KUPANG KRAJAN",KUPANG KRAJAN 7/27,"-7.27374577189209, 112.726372869743"
6092,"JAWA TIMUR, KAB. MALANG","PAGAK, PAGAK",DUKUH TEMPUR,"-8.2348932, 112.5172456"
6093,"JAWA TIMUR, LAMONGAN","BABAT, DATINAWONG",DATINAWONG,"-7.10724333333333, 112.226981666667"
6094,"JAWA TIMUR, KAB. BANYUWANGI","CLURING, CLURING",DSN KARANGREJO,"-8.4347226, 114.210629"
6095,"JAWA TIMUR, KOTA SURABAYA","BUBUTAN, GUNDIH",GUNDIH REL BLOK B/30-A,"-7.2479668725282, 112.728674411774"
6096,"JAWA TIMUR, JEMBER","AJUNG, AJUNG",DUSUN KIDUL BESUK,"-8.21993630379438, 113.67755278945"
6097,"JAWA TIMUR, KAB. BANYUWANGI","PURWOHARJO, PURWOHARJO",DUSUN KRAJAN,"-8.4795433, 114.2249789"
6098,"JAWA TIMUR, KAB. NGANJUK","BAGOR, SUGIHWARAS",SUGIHWARAS,"-7.57504689, 111.89174561"
6099,"JAWA TIMUR, JEMBER","SUKORAMBI, JUBUNG",DUSUN KRAJAN PLALANGAN,"-8.20716, 113.63375"
6100,"JAWA TIMUR, KAB. BANYUWANGI","GAMBIRAN, WRINGINAGUNG",DUSUN SUMBERJAYA,"-8.44017686050568, 114.171367883704"
6101,"JAWA TIMUR, KAB. LAMONGAN","BABAT, BULUMARGI",BULUGONDANG,"-7.13234513998032, 112.213705871254"
6102,"JAWA TIMUR, PROBOLINGGO","BESUK, BESUKKIDUL",DUSUN KRAJAN,"-7.7835631016245035, 113.47760777596862"
6103,"JAWA TIMUR, KAB. LAMONGAN","BABAT, KEYONGAN",RA.KARTINI,"-7.1185136, 112.2472649"
6104,"JAWA TIMUR, KAB. MALANG","AMPELGADING, LEBAKHARJO",DUSUN SUKOMAJU A,"-8.30595333333333, 112.907585"
6105,"JAWA TIMUR, KOTA BATU","BATU, SIDOMULYO",JL. MAWAR MERAH,"-7.8428958, 112.5251117"
6106,"JAWA TIMUR, KAB. MALANG","DONOMULYO, TULUNGREJO",TULUNGREJO,"-8.3335082, 112.490573"
6107,"JAWA TIMUR, JEMBER","AJUNG, AJUNG",DUSUN CURAHKATES,"-8.2288317, 113.6664114"
6108,"JAWA TIMUR, KAB. MALANG","BANTUR, PRINGGONDANI",DSN SUMBERBENDO,"-8.286953, 112.57069176"
6109,"JAWA TIMUR, KAB. NGANJUK","REJOSO, KEDUNGPADANG",DS KEDUNG PADANG,"-7.50527833333333, 111.942078333333"
6110,"JAWA TIMUR, KAB. BANGKALAN","BURNEH, LANGKAP",KMP. GRUNGGUNGAN,"-7.044845, 112.7716347"
6111,"JAWA TIMUR, JEMBER","SUKORAMBI, JUBUNG",BITING,"-8.1856885, 113.6418148"
6112,"JAWA TIMUR, KAB. PROBOLINGGO","BESUK, KECIK",DUSUN PODAGAN,"-7.82426666666667, 113.490675"
6113,"JAWA TIMUR, KAB. BANYUWANGI","SILIRAGUNG, KESILIR",DUSUN SUMBERSUKO,"-8.5261219, 114.1286734"
6114,"JAWA TIMUR, NGANJUK","BAGOR, BALONGREJO",DSN BALONGREJO,"-7.60200793, 111.84888179"
6115,"JAWA TIMUR, KAB. MALANG","DONOMULYO, TLOGOSARI",TEGALREJO,"-8.27289006, 112.48170121"
6116,"JAWA TIMUR, LAMONGAN","BABAT, GEMBONG",BERU,"-7.09261, 112.207948333333"
6117,"JAWA TIMUR, KAB. MOJOKERTO","DAWARBLANDONG, BANGERAN",DSN. NGEMPLAK,"-7.35617888, 112.44011518"
6118,"JAWA TIMUR, KOTA MALANG","SUKUN, BANDUNGREJOSARI",JL. KEMANTREN III / 44,"-8.0001462, 112.6148366"
6119,"JAWA TIMUR, JEMBER","AJUNG, AJUNG",DUSUN KRAJAN,"-8.2084902, 113.6585461"
6120,"JAWA TIMUR, KAB. BANYUWANGI","GENTENG, SETAIL",DUSUN KRAJAN I,"-8.35836328, 114.1305879"
6121,"JAWA TIMUR, LAMONGAN","BABAT, BEDAHAN",Jl. PENDIDIKAN,"-7.0945651, 112.1859855"
6122,"JAWA TIMUR, KAB. LAMONGAN","BABAT, BABAT",SAWONGGALING,"-7.10689881, 112.17544962"
6123,"JAWA TIMUR, KAB. MALANG","SINGOSARI, TOYOMARTO",DSN GLATIK,"-7.85236, 112.656146666667"
6124,"JAWA TIMUR, KAB. LUMAJANG","JATIROTO, KALIBOTO KIDUL",DSN PONDOKSARI,"-8.13331593, 113.34075779"
6125,"JAWA TIMUR, TULUNGAGUNG","BOYOLANGU, KEPUH",DUSUN KEDUNG BENDO,"-8.093905, 111.911955"
6126,"JAWA TIMUR, JEMBER","AJUNG, AJUNG",DUSUN KIDUL BESUK,"-8.22140299, 113.67738811"
6127,"JAWA TIMUR, MALANG","BULULAWANG, KREBET",KREBET,"-8.0913934, 112.6401642"
6128,"JAWA TIMUR, KAB. BANYUWANGI","ROGOJAMPI, LEMAHBANGDEWO",DUSUN KRAJAN .,"-8.30978762, 114.27423977"
6129,"JAWA TIMUR, LAMONGAN","BABAT, BABAT",SAWONGGALING,"-7.10720058, 112.17554931"
6130,"JAWA TIMUR, KAB. PACITAN","KEBONAGUNG, GAWANG",WATI,"-8.1705623, 111.0529333"
6131,"JAWA TIMUR, KAB. BANYUWANGI","PESANGGARAN, KANDANGAN",DUSUN KRAJAN,"-8.54882333333333, 113.976226666667"
6132,"JAWA TIMUR, KOTA KEDIRI","PESANTREN, BAWANG",LINGKUNGAN CENTONG,"-7.860201, 112.0595192"
6133,"JAWA TIMUR, KAB. MALANG","PONCOKUSUMO, PANDANSARI",PANDANSARI,"-8.07179914, 112.80459267"
6134,"JAWA TIMUR, KAB. BANYUWANGI","BANGOREJO, KEBONDALEM",DSN. KEBONDALEM,"-8.47088963, 114.13501876"
6135,"JAWA TIMUR, KAB. BANYUWANGI","GLAGAH, KAMPUNGANYAR",DUSUN REJOPURO,"-8.1874307, 114.2833307"
6136,"JAWA TIMUR, KAB. MALANG","BANTUR, REJOYOSO",REJOYOSO,"-8.2226275, 112.5808844"
6137,"JAWA TIMUR, JEMBER","ARJASA, ARJASA",DUSUN CALOK,"-8.1197068, 113.7428156"
6138,"JAWA TIMUR, KAB. BANYUWANGI","MUNCAR, TEMBOKREJO",DSN. KRAJAN,"-8.43523345, 114.32169277"
6139,"JAWA TIMUR, JEMBER","AJUNG, AJUNG",DUSUN KIDUL BESUK,"-8.220228, 113.6780117"
6140,"JAWA TIMUR, KAB. MALANG","PAGAK, GAMPINGAN",DSN DEMPOK,"-8.1892426, 112.5365295"
6141,"JAWA TIMUR, KAB. PASURUAN","GONDANGWETAN, PATEGUHAN",PATEGUHAN,"-7.69583605695516, 112.929490730166"
6142,"JAWA TIMUR, KOTA BATU","BATU, NGAGLIK",JL LESTI,"-7.86482891, 112.52181893"
6143,"JAWA TIMUR, KAB. MALANG","DONOMULYO, PURWOREJO",KARANGREJO,"-8.25930166666667, 112.396556666667"
6144,"JAWA TIMUR, KAB. MALANG","BANTUR, REJOYOSO",DSN KARANGSUKO,"-8.2226275, 112.5808844"
6145,"JAWA TIMUR, KOTA SURABAYA","GENTENG, PENELEH",PENELEH 9/10,"-7.25262665, 112.73956935"
6146,"JAWA TIMUR, KAB. JEMBER","AJUNG, AJUNG",DUSUN CURAHKATES,"-8.2368429, 113.6552426"
6147,"JAWA TIMUR, BANYUWANGI","BANGOREJO, SAMBIREJO",DSN. PASEMBON,"-8.50199833333333, 114.16164"
6148,"JAWA TIMUR, KAB. LAMONGAN","BABAT, GEMBONG",BERU,"-7.09257, 112.209753333333"
6149,"JAWA TIMUR, GRESIK","BALONGPANGGANG, DOHOAGUNG",GERABAKAN,"-7.23875723, 112.42267038"
6150,"JAWA TIMUR, KOTA PROBOLINGGO","KADEMANGAN, KADEMANGAN",BLOK TRIWUNG,"-7.78434904102937, 113.183275565779"
6151,"JAWA TIMUR, KAB. MALANG","DONOMULYO, TLOGOSARI",KRAJAN,"-8.27782962, 112.46932525"
6152,"JAWA TIMUR, JEMBER","AJUNG, AJUNG",DUSUN AJUNG WETAN,"-8.2130404, 113.6776971"
6153,"JAWA TIMUR, KAB. LAMONGAN","BABAT, PLAOSAN",PLAOSAN,"-7.09919415, 112.1857998"
6154,"JAWA TIMUR, KOTA PASURUAN","BUGUL KIDUL, BLANDONGAN",JELAK REJO ,"-7.6600305, 112.9284076"
6155,"JAWA TIMUR, KOTA MALANG","KLOJEN, PENANGGUNGAN",JL. MAYJEND PANJAITAN 20-A,"-7.9615112595309725, 112.62580693020217"
6156,"JAWA TIMUR, KAB. BANGKALAN","BLEGA, KARANG PANASAN",KMP. KARANG ANYAR,"-7.12082328, 113.07073093"
6157,"JAWA TIMUR, KAB. MALANG","AMPELGADING, LEBAKHARJO",DUSUN SUKOMAJU A ,"-8.2360807, 112.8772239"
6158,"JAWA TIMUR, KAB. JOMBANG","BANDARKEDUNGMULYO, GONDANGMANIS",DSN GONDANGMANIS,"-7.5848713, 112.1340596"
6159,"JAWA TIMUR, KOTA SURABAYA","KENJERAN, TAMBAK WEDI",TAMBAK WEDI BARU GG III NO. 55,"-7.21541420090944, 112.775550037622"
6160,"JAWA TIMUR, KAB. PACITAN","BANDAR, JERUK",BENDO,"-7.95591973, 111.23921438"
6161,"JAWA TIMUR, KOTA BLITAR","SUKOREJO, PAKUNDEN",JL TANJUNG GG XIII NO 37,"-8.09896429, 112.14278916"
6162,"JAWA TIMUR, KAB. MALANG","PAGAK, GAMPINGAN",GAMPINGAN,"-8.18825373, 112.52975405"
6163,"JAWA TIMUR, KAB. MALANG","AMPELGADING, LEBAKHARJO",SUKOMAJU B,"-7.95101861469448, 112.636310700327"
6164,"JAWA TIMUR, KAB. BANYUWANGI","SRONO, KEBAMAN",DUSUN KRAJAN,"-8.4124581, 114.2685339"
6165,"JAWA TIMUR, KAB. MALANG","AMPELGADING, ARGOYUWONO",DSN ARGOSUKO,"-8.190677, 112.8762771"
6166,"JAWA TIMUR, KAB. BANYUWANGI","GAMBIRAN, GAMBIRAN",DUSUN SETEMBEL,"-8.4079473, 114.1428189"
6167,"JAWA TIMUR, KAB. MALANG","DAMPIT, MAJANGTENGAH",LAMBANGSARI,"-8.0425081, 112.642399"
6168,"JAWA TIMUR, KAB. LAMONGAN","BABAT, DATINAWONG",DATINAWONG,"-7.1022473, 112.2270382"
6169,"JAWA TIMUR, KAB. LAMONGAN","BRONDONG, SIDOMUKTI",SIDOMUKTI,"-6.90518005751073, 112.19680535607"
6170,"JAWA TIMUR, KAB. JEMBER","AJUNG, AJUNG",DUSUN CURAHKATES,"-8.2292332, 113.6662739"
6171,"JAWA TIMUR, KAB. MALANG","DONOMULYO, PURWOREJO",DSN KARANGREJO UTARA,"-8.26931333333333, 112.40489"
6172,"JAWA TIMUR, KAB. MALANG","DONOMULYO, SUMBEROTO",PANGGUNGWARU,"-8.31444666666667, 112.378156666667"
6173,"JAWA TIMUR, KAB. BANYUWANGI","BANGOREJO, SAMBIREJO",DSN. PASEMBON,"-8.50099166666667, 114.154345"
6174,"JAWA TIMUR, KAB. JOMBANG","BANDARKEDUNGMULYO, GONDANGMANIS",GONDANG LEGI,"-7.57596333333333, 112.135728333333"
6175,"JAWA TIMUR, KAB. TULUNGAGUNG","CAMPURDARAT, POJOK",DSN. SECANG,"-8.14625333333333, 111.906418333333"
6176,"JAWA TIMUR, MOJOKERTO","DAWARBLANDONG, JATIROWO",WARUGUNUNG,"-7.34736166666667, 112.436818333333"
6177,"JAWA TIMUR, KAB. MALANG","PAGAK, TLOGOREJO",DSN JUDEG,"-8.2104894, 112.4939968"
